,Cruise,Station,Type,yyyy-mm-ddThh:mm:ss.sss,Longitude [degrees_east],Latitude [degrees_north],Bot. Depth [m],NODC Accession Number,WOD Cruise Identifier,WOD Unique Cast,Platform,Project,Originator's Cruise,Originator's Station,Originator's Station Number,Investigator,Institution,Source,Instruments,Methods,pH Scale,Depth Correction Info,Depth [m],Temperature [degrees_C],Salinity [psu],Oxygen [~$m~#mol/kg],Phosphate,Silicate,Nitrate,Nitrite [~$m~#mol/kg],pH,Chlorophyll [~$m~#g/l],Plankton/Biomass,Alkalinity [meq/l],NO2+NO3 [~$m~#mol/kg],pCO~_2 [~$m~#atm],tCO2,Tritium [TU],Helium [nmol/kg],~$d~#~^3He [%],~$D~#~^1~^4C [~%],~$d~#~^1~^3C [~%],Argon [nmol/kg],Neon [nmol/kg],CFC11 [pmol/kg],CFC12 [pmol/kg],CFC113 [pmol/kg],~$d~#~^1~^8O [~%],Transmissivity [m~^-~^1],SA,CT,pdens
528,WOD_UNITED STATES,702654,B,1974-06-03T21:24,-122.992,16.52,4196.0,,US008497,702654,MELVILLE (R/V; call sign WECB; built 1969; IMO7738591),5900,LEG X,,,,"SCRIPPS INSTITUTION OF OCEANOGRAPHY, LA JOLLA, CA",,var5 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown | var6 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown | var7 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown,,,,428.0,8.313,34.534,2.0,2.82,53.8,33.3,,,,,2.379,,,2.0213645042644398e+18,,,,,,,,,,,,,34.703186,8.26616,26.874301
529,WOD_UNITED STATES,702654,B,1974-06-03T21:24,-122.992,16.52,4196.0,,US008497,702654,MELVILLE (R/V; call sign WECB; built 1969; IMO7738591),5900,LEG X,,,,"SCRIPPS INSTITUTION OF OCEANOGRAPHY, LA JOLLA, CA",,var5 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown | var6 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown | var7 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown,,,,494.5,7.428,34.511002,2.0,2.92,63.0,35.9,,,,,2.384,,,2.0319602198335982e+18,,,,,,,,,,,,,34.680989,7.37766,26.987541
530,WOD_UNITED STATES,702654,B,1974-06-03T21:24,-122.992,16.52,4196.0,,US008497,702654,MELVILLE (R/V; call sign WECB; built 1969; IMO7738591),5900,LEG X,,,,"SCRIPPS INSTITUTION OF OCEANOGRAPHY, LA JOLLA, CA",,var5 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown | var6 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown | var7 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown,,,,588.6,6.556,34.507999,2.0,3.04,74.3,38.9,,,,,2.402,,,2.0450273431956667e+18,,,,,,,,,,,,,34.679154,6.50002,27.106569
531,WOD_UNITED STATES,702654,B,1974-06-03T21:24,-122.992,16.52,4196.0,,US008497,702654,MELVILLE (R/V; call sign WECB; built 1969; IMO7738591),5900,LEG X,,,,"SCRIPPS INSTITUTION OF OCEANOGRAPHY, LA JOLLA, CA",,var5 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown | var6 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown | var7 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown,,,,688.7,5.801,34.506001,5.0,3.07,83.5,41.8,,,,,2.408,,,2.0515339382742285e+18,,,,,,,,,,,,,34.678179,5.73939,27.203261
532,WOD_UNITED STATES,702654,B,1974-06-03T21:24,-122.992,16.52,4196.0,,US008497,702654,MELVILLE (R/V; call sign WECB; built 1969; IMO7738591),5900,LEG X,,,,"SCRIPPS INSTITUTION OF OCEANOGRAPHY, LA JOLLA, CA",,var5 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown | var6 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown | var7 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown,,,,789.8,5.187,34.514,11.0,3.1,90.6,43.7,,,,,2.415,,,2.0463006548051264e+18,,,,,,,,,,,,,34.687326,5.1197,27.284983
538,WOD_UNITED STATES,702654,B,1974-06-03T21:24,-122.992,16.52,4196.0,,US008497,702654,MELVILLE (R/V; call sign WECB; built 1969; IMO7738591),5900,LEG X,,,,"SCRIPPS INSTITUTION OF OCEANOGRAPHY, LA JOLLA, CA",,var5 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown | var6 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown | var7 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown,,,,225.5,11.719,34.716999,0.0,2.55,34.7,26.6,,,,,2.373,,,1.992365457928697e+18,,,,,,,,,,,,,34.884522,11.68493,26.434292
539,WOD_UNITED STATES,702654,B,1974-06-03T21:24,-122.992,16.52,4196.0,,US008497,702654,MELVILLE (R/V; call sign WECB; built 1969; IMO7738591),5900,LEG X,,,,"SCRIPPS INSTITUTION OF OCEANOGRAPHY, LA JOLLA, CA",,var5 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown | var6 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown | var7 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown,,,,275.2,10.714,34.682999,0.0,2.62,38.8,24.8,,,,,2.374,,,2.0067580415694423e+18,,,,,,,,,,,,,34.850957,10.67599,26.592296
540,WOD_UNITED STATES,702654,B,1974-06-03T21:24,-122.992,16.52,4196.0,,US008497,702654,MELVILLE (R/V; call sign WECB; built 1969; IMO7738591),5900,LEG X,,,,"SCRIPPS INSTITUTION OF OCEANOGRAPHY, LA JOLLA, CA",,var5 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown | var6 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown | var7 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown,,,,322.8,9.933,34.639999,0.0,2.69,43.1,25.3,,,,,2.373,,,2.0106749225144617e+18,,,,,,,,,,,,,34.808374,9.89171,26.695145
541,WOD_UNITED STATES,702654,B,1974-06-03T21:24,-122.992,16.52,4196.0,,US008497,702654,MELVILLE (R/V; call sign WECB; built 1969; IMO7738591),5900,LEG X,,,,"SCRIPPS INSTITUTION OF OCEANOGRAPHY, LA JOLLA, CA",,var5 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown | var6 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown | var7 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown,,,,372.4,8.975,34.568001,1.0,2.74,48.1,31.0,,,,,2.379,,,2.0128923365680233e+18,,,,,,,,,,,,,34.736636,8.93173,26.79694
542,WOD_UNITED STATES,702654,B,1974-06-03T21:24,-122.992,16.52,4196.0,,US008497,702654,MELVILLE (R/V; call sign WECB; built 1969; IMO7738591),5900,LEG X,,,,"SCRIPPS INSTITUTION OF OCEANOGRAPHY, LA JOLLA, CA",,var5 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown | var6 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown | var7 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown,,,,428.0,8.313,34.534,2.0,2.82,53.8,33.3,,,,,2.379,,,2.0213645042644398e+18,,,,,,,,,,,,,34.703186,8.26616,26.874301
543,WOD_UNITED STATES,702654,B,1974-06-03T21:24,-122.992,16.52,4196.0,,US008497,702654,MELVILLE (R/V; call sign WECB; built 1969; IMO7738591),5900,LEG X,,,,"SCRIPPS INSTITUTION OF OCEANOGRAPHY, LA JOLLA, CA",,var5 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown | var6 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown | var7 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown,,,,494.5,7.428,34.511002,2.0,2.92,63.0,35.9,,,,,2.384,,,2.0319602198335982e+18,,,,,,,,,,,,,34.680989,7.37766,26.987541
544,WOD_UNITED STATES,702654,B,1974-06-03T21:24,-122.992,16.52,4196.0,,US008497,702654,MELVILLE (R/V; call sign WECB; built 1969; IMO7738591),5900,LEG X,,,,"SCRIPPS INSTITUTION OF OCEANOGRAPHY, LA JOLLA, CA",,var5 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown | var6 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown | var7 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown,,,,588.6,6.556,34.507999,2.0,3.04,74.3,38.9,,,,,2.402,,,2.0450273431956667e+18,,,,,,,,,,,,,34.679154,6.50002,27.106569
545,WOD_UNITED STATES,702654,B,1974-06-03T21:24,-122.992,16.52,4196.0,,US008497,702654,MELVILLE (R/V; call sign WECB; built 1969; IMO7738591),5900,LEG X,,,,"SCRIPPS INSTITUTION OF OCEANOGRAPHY, LA JOLLA, CA",,var5 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown | var6 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown | var7 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown,,,,688.7,5.801,34.506001,5.0,3.07,83.5,41.8,,,,,2.408,,,2.0515339382742285e+18,,,,,,,,,,,,,34.678179,5.73939,27.203261
546,WOD_UNITED STATES,702654,B,1974-06-03T21:24,-122.992,16.52,4196.0,,US008497,702654,MELVILLE (R/V; call sign WECB; built 1969; IMO7738591),5900,LEG X,,,,"SCRIPPS INSTITUTION OF OCEANOGRAPHY, LA JOLLA, CA",,var5 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown | var6 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown | var7 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown,,,,789.8,5.187,34.514,11.0,3.1,90.6,43.7,,,,,2.415,,,2.0463006548051264e+18,,,,,,,,,,,,,34.687326,5.1197,27.284983
550,WOD_UNITED STATES,702754,B,1974-06-06T08:42,-122.21201,22.525,4225.0,,US008497,702754,MELVILLE (R/V; call sign WECB; built 1969; IMO7738591),5900,LEG X,,,,"SCRIPPS INSTITUTION OF OCEANOGRAPHY, LA JOLLA, CA",,var5 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown | var6 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown | var7 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown,,,,273.1,9.622,34.296001,57.0,2.3,38.8,27.8,,,,,2.345,,,1.9585290473279242e+18,,,,,,,,,,,,,34.462322,9.59352,26.476896
551,WOD_UNITED STATES,702754,B,1974-06-06T08:42,-122.21201,22.525,4225.0,,US008497,702754,MELVILLE (R/V; call sign WECB; built 1969; IMO7738591),5900,LEG X,,,,"SCRIPPS INSTITUTION OF OCEANOGRAPHY, LA JOLLA, CA",,var5 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown | var6 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown | var7 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown,,,,342.6,8.312,34.285999,45.0,2.49,50.8,31.0,,,,,2.351,,,1.9750114607651889e+18,,,,,,,,,,,,,34.453681,8.27848,26.678188
552,WOD_UNITED STATES,702754,B,1974-06-06T08:42,-122.21201,22.525,4225.0,,US008497,702754,MELVILLE (R/V; call sign WECB; built 1969; IMO7738591),5900,LEG X,,,,"SCRIPPS INSTITUTION OF OCEANOGRAPHY, LA JOLLA, CA",,var5 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown | var6 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown | var7 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown,,,,422.9,7.467,34.363998,16.0,2.79,62.8,34.9,,,,,2.371,,,2.0154977072580275e+18,,,,,,,,,,,,,34.533547,7.42611,26.865514
553,WOD_UNITED STATES,702754,B,1974-06-06T08:42,-122.21201,22.525,4225.0,,US008497,702754,MELVILLE (R/V; call sign WECB; built 1969; IMO7738591),5900,LEG X,,,,"SCRIPPS INSTITUTION OF OCEANOGRAPHY, LA JOLLA, CA",,var5 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown | var6 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown | var7 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown,,,,504.2,6.411,34.327999,13.0,2.89,75.7,38.1,,,,,2.38,,,2.026050473194365e+18,,,,,,,,,,,,,34.49873,6.36633,26.982761
554,WOD_UNITED STATES,702754,B,1974-06-06T08:42,-122.21201,22.525,4225.0,,US008497,702754,MELVILLE (R/V; call sign WECB; built 1969; IMO7738591),5900,LEG X,,,,"SCRIPPS INSTITUTION OF OCEANOGRAPHY, LA JOLLA, CA",,var5 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown | var6 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown | var7 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown,,,,582.5,6.156,34.417,8.0,2.99,81.3,39.8,,,,,2.394,,,2.0384398657720635e+18,,,,,,,,,,,,,34.589157,6.10374,27.087552
555,WOD_UNITED STATES,702754,B,1974-06-06T08:42,-122.21201,22.525,4225.0,,US008497,702754,MELVILLE (R/V; call sign WECB; built 1969; IMO7738591),5900,LEG X,,,,"SCRIPPS INSTITUTION OF OCEANOGRAPHY, LA JOLLA, CA",,var5 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown | var6 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown | var7 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown,,,,681.6,5.578,34.452,7.0,3.07,91.7,41.6,,,,,2.411,,,2.0559642384568028e+18,,,,,,,,,,,,,34.625387,5.51897,27.188771
556,WOD_UNITED STATES,702754,B,1974-06-06T08:42,-122.21201,22.525,4225.0,,US008497,702754,MELVILLE (R/V; call sign WECB; built 1969; IMO7738591),5900,LEG X,,,,"SCRIPPS INSTITUTION OF OCEANOGRAPHY, LA JOLLA, CA",,var5 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown | var6 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown | var7 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown,,,,784.5,5.064,34.469002,10.0,3.1,100.3,42.9,,,,,2.421,,,2.0550540389590456e+18,,,,,,,,,,,,,34.643572,4.99851,27.264582
561,WOD_UNITED STATES,702754,B,1974-06-06T08:42,-122.21201,22.525,4225.0,,US008497,702754,MELVILLE (R/V; call sign WECB; built 1969; IMO7738591),5900,LEG X,,,,"SCRIPPS INSTITUTION OF OCEANOGRAPHY, LA JOLLA, CA",,var5 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown | var6 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown | var7 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown,,,,273.1,9.622,34.296001,57.0,2.3,38.8,27.8,,,,,2.345,,,1.9585290473279242e+18,,,,,,,,,,,,,34.462322,9.59352,26.476896
562,WOD_UNITED STATES,702754,B,1974-06-06T08:42,-122.21201,22.525,4225.0,,US008497,702754,MELVILLE (R/V; call sign WECB; built 1969; IMO7738591),5900,LEG X,,,,"SCRIPPS INSTITUTION OF OCEANOGRAPHY, LA JOLLA, CA",,var5 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown | var6 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown | var7 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown,,,,342.6,8.312,34.285999,45.0,2.49,50.8,31.0,,,,,2.351,,,1.9750114607651889e+18,,,,,,,,,,,,,34.453681,8.27848,26.678188
563,WOD_UNITED STATES,702754,B,1974-06-06T08:42,-122.21201,22.525,4225.0,,US008497,702754,MELVILLE (R/V; call sign WECB; built 1969; IMO7738591),5900,LEG X,,,,"SCRIPPS INSTITUTION OF OCEANOGRAPHY, LA JOLLA, CA",,var5 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown | var6 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown | var7 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown,,,,422.9,7.467,34.363998,16.0,2.79,62.8,34.9,,,,,2.371,,,2.0154977072580275e+18,,,,,,,,,,,,,34.533547,7.42611,26.865514
564,WOD_UNITED STATES,702754,B,1974-06-06T08:42,-122.21201,22.525,4225.0,,US008497,702754,MELVILLE (R/V; call sign WECB; built 1969; IMO7738591),5900,LEG X,,,,"SCRIPPS INSTITUTION OF OCEANOGRAPHY, LA JOLLA, CA",,var5 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown | var6 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown | var7 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown,,,,504.2,6.411,34.327999,13.0,2.89,75.7,38.1,,,,,2.38,,,2.026050473194365e+18,,,,,,,,,,,,,34.49873,6.36633,26.982761
565,WOD_UNITED STATES,702754,B,1974-06-06T08:42,-122.21201,22.525,4225.0,,US008497,702754,MELVILLE (R/V; call sign WECB; built 1969; IMO7738591),5900,LEG X,,,,"SCRIPPS INSTITUTION OF OCEANOGRAPHY, LA JOLLA, CA",,var5 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown | var6 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown | var7 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown,,,,582.5,6.156,34.417,8.0,2.99,81.3,39.8,,,,,2.394,,,2.0384398657720635e+18,,,,,,,,,,,,,34.589157,6.10374,27.087552
566,WOD_UNITED STATES,702754,B,1974-06-06T08:42,-122.21201,22.525,4225.0,,US008497,702754,MELVILLE (R/V; call sign WECB; built 1969; IMO7738591),5900,LEG X,,,,"SCRIPPS INSTITUTION OF OCEANOGRAPHY, LA JOLLA, CA",,var5 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown | var6 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown | var7 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown,,,,681.6,5.578,34.452,7.0,3.07,91.7,41.6,,,,,2.411,,,2.0559642384568028e+18,,,,,,,,,,,,,34.625387,5.51897,27.188771
567,WOD_UNITED STATES,702754,B,1974-06-06T08:42,-122.21201,22.525,4225.0,,US008497,702754,MELVILLE (R/V; call sign WECB; built 1969; IMO7738591),5900,LEG X,,,,"SCRIPPS INSTITUTION OF OCEANOGRAPHY, LA JOLLA, CA",,var5 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown | var6 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown | var7 = BOTTLE: Continuous Flow Autoanalyzer (CFA): Technicon; model unknown,,,,784.5,5.064,34.469002,10.0,3.1,100.3,42.9,,,,,2.421,,,2.0550540389590456e+18,,,,,,,,,,,,,34.643572,4.99851,27.264582
572,WOD_UNITED STATES,7151066,B,1991-06-16T09:25,-135.00169,22.4983,5147.0,,US012540,7151066,THOMAS WASHINGTON,WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),31WTTUNES/1,,,,"SCRIPPS INSTITUTION OF OCEANOGRAPHY, LA JOLLA, CA",,var2 = CTD: TYPE UNKNOWN,,,,401.18,7.6384,34.1362,89.3,2.27,48.46,30.21,,,,,2.3448,,,1.9371313186300096e+18,1.424,1.908,17.17,,,,,0.492,0.257,,,,34.302993,7.60284,26.660286
573,WOD_UNITED STATES,7151066,B,1991-06-16T09:25,-135.00169,22.4983,5147.0,,US012540,7151066,THOMAS WASHINGTON,WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),31WTTUNES/1,,,,"SCRIPPS INSTITUTION OF OCEANOGRAPHY, LA JOLLA, CA",,var2 = CTD: TYPE UNKNOWN,,,,455.62,6.9586,34.206799,46.9,2.65,60.98,34.95,,,,,,,,1.9738037109907095e+18,0.574,1.897,12.55,,,,,0.113,0.067,,,,34.375255,6.91847,26.812456
574,WOD_UNITED STATES,7151066,B,1991-06-16T09:25,-135.00169,22.4983,5147.0,,US012540,7151066,THOMAS WASHINGTON,WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),31WTTUNES/1,,,,"SCRIPPS INSTITUTION OF OCEANOGRAPHY, LA JOLLA, CA",,var2 = CTD: TYPE UNKNOWN,,,,504.79,6.1343,34.191898,39.9,2.79,71.12,37.43,,,,,,,,1.9881094605410673e+18,0.38,1.881,11.74,,,,,0.068,0.044,,,,34.361449,6.09255,26.910327
575,WOD_UNITED STATES,7151066,B,1991-06-16T09:25,-135.00169,22.4983,5147.0,,US012540,7151066,THOMAS WASHINGTON,WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),31WTTUNES/1,,,,"SCRIPPS INSTITUTION OF OCEANOGRAPHY, LA JOLLA, CA",,var2 = CTD: TYPE UNKNOWN,,,,605.98,5.6819,34.325199,17.5,3.02,83.43,40.27,,,,,2.3921,,,2.012954088840258e+18,0.029,1.912,10.6,,,,,0.008,0.006,,,,34.497227,5.63094,27.074418
576,WOD_UNITED STATES,7151066,B,1991-06-16T09:25,-135.00169,22.4983,5147.0,,US012540,7151066,THOMAS WASHINGTON,WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),31WTTUNES/1,,,,"SCRIPPS INSTITUTION OF OCEANOGRAPHY, LA JOLLA, CA",,var2 = CTD: TYPE UNKNOWN,,,,703.75,5.1697,34.378601,22.3,3.05,91.97,41.71,,,,,,,,2.015125250065195e+18,0.005,1.912,12.95,,,,,0.003,,,,,34.552092,5.11192,27.179423
577,WOD_UNITED STATES,7151066,B,1991-06-16T09:25,-135.00169,22.4983,5147.0,,US012540,7151066,THOMAS WASHINGTON,WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),31WTTUNES/1,,,,"SCRIPPS INSTITUTION OF OCEANOGRAPHY, LA JOLLA, CA",,var2 = CTD: TYPE UNKNOWN,,,,809.79,4.7076,34.4277,29.1,3.06,100.9,42.41,,,,,,,,2.0271352153398026e+18,0.004,1.888,16.49,,,,,0.003,0.001,,,,34.602443,4.64273,27.272405
581,WOD_UNITED STATES,7151066,B,1991-06-16T09:25,-135.00169,22.4983,5147.0,,US012540,7151066,THOMAS WASHINGTON,WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),31WTTUNES/1,,,,"SCRIPPS INSTITUTION OF OCEANOGRAPHY, LA JOLLA, CA",,var2 = CTD: TYPE UNKNOWN,,,,401.18,7.6384,34.1362,89.3,2.27,48.46,30.21,,,,,2.3448,,,1.9371313186300096e+18,1.424,1.908,17.17,,,,,0.492,0.257,,,,34.302993,7.60284,26.660286
582,WOD_UNITED STATES,7151066,B,1991-06-16T09:25,-135.00169,22.4983,5147.0,,US012540,7151066,THOMAS WASHINGTON,WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),31WTTUNES/1,,,,"SCRIPPS INSTITUTION OF OCEANOGRAPHY, LA JOLLA, CA",,var2 = CTD: TYPE UNKNOWN,,,,455.62,6.9586,34.206799,46.9,2.65,60.98,34.95,,,,,,,,1.9738037109907095e+18,0.574,1.897,12.55,,,,,0.113,0.067,,,,34.375255,6.91847,26.812456
583,WOD_UNITED STATES,7151066,B,1991-06-16T09:25,-135.00169,22.4983,5147.0,,US012540,7151066,THOMAS WASHINGTON,WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),31WTTUNES/1,,,,"SCRIPPS INSTITUTION OF OCEANOGRAPHY, LA JOLLA, CA",,var2 = CTD: TYPE UNKNOWN,,,,504.79,6.1343,34.191898,39.9,2.79,71.12,37.43,,,,,,,,1.9881094605410673e+18,0.38,1.881,11.74,,,,,0.068,0.044,,,,34.361449,6.09255,26.910327
584,WOD_UNITED STATES,7151066,B,1991-06-16T09:25,-135.00169,22.4983,5147.0,,US012540,7151066,THOMAS WASHINGTON,WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),31WTTUNES/1,,,,"SCRIPPS INSTITUTION OF OCEANOGRAPHY, LA JOLLA, CA",,var2 = CTD: TYPE UNKNOWN,,,,605.98,5.6819,34.325199,17.5,3.02,83.43,40.27,,,,,2.3921,,,2.012954088840258e+18,0.029,1.912,10.6,,,,,0.008,0.006,,,,34.497227,5.63094,27.074418
585,WOD_UNITED STATES,7151066,B,1991-06-16T09:25,-135.00169,22.4983,5147.0,,US012540,7151066,THOMAS WASHINGTON,WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),31WTTUNES/1,,,,"SCRIPPS INSTITUTION OF OCEANOGRAPHY, LA JOLLA, CA",,var2 = CTD: TYPE UNKNOWN,,,,703.75,5.1697,34.378601,22.3,3.05,91.97,41.71,,,,,,,,2.015125250065195e+18,0.005,1.912,12.95,,,,,0.003,,,,,34.552092,5.11192,27.179423
586,WOD_UNITED STATES,7151066,B,1991-06-16T09:25,-135.00169,22.4983,5147.0,,US012540,7151066,THOMAS WASHINGTON,WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),31WTTUNES/1,,,,"SCRIPPS INSTITUTION OF OCEANOGRAPHY, LA JOLLA, CA",,var2 = CTD: TYPE UNKNOWN,,,,809.79,4.7076,34.4277,29.1,3.06,100.9,42.41,,,,,,,,2.0271352153398026e+18,0.004,1.888,16.49,,,,,0.003,0.001,,,,34.602443,4.64273,27.272405
590,WOD_UNITED STATES,7151100,B,1991-06-17T05:31,-135.0,21.0083,5252.0,,US012540,7151100,THOMAS WASHINGTON,WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),31WTTUNES/1,,,,"SCRIPPS INSTITUTION OF OCEANOGRAPHY, LA JOLLA, CA",,var2 = CTD: TYPE UNKNOWN,,,,403.1,7.0261,34.172798,58.5,2.57,56.94,33.56,,,,,2.3568,,,1.9727864088410166e+18,,,,,,,,0.212,0.124,,,,34.33993,6.99144,26.774878
591,WOD_UNITED STATES,7151100,B,1991-06-17T05:31,-135.0,21.0083,5252.0,,US012540,7151100,THOMAS WASHINGTON,WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),31WTTUNES/1,,,,"SCRIPPS INSTITUTION OF OCEANOGRAPHY, LA JOLLA, CA",,var2 = CTD: TYPE UNKNOWN,,,,454.08,6.7956,34.282902,27.3,2.83,64.86,36.95,,,,,,,,1.9960551588636518e+18,0.246,1.867,9.86,,,,,0.041,0.023,,,,34.451665,6.75503,26.89438
592,WOD_UNITED STATES,7151100,B,1991-06-17T05:31,-135.0,21.0083,5252.0,,US012540,7151100,THOMAS WASHINGTON,WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),31WTTUNES/1,,,,"SCRIPPS INSTITUTION OF OCEANOGRAPHY, LA JOLLA, CA",,var2 = CTD: TYPE UNKNOWN,,,,499.89,6.3246,34.304401,23.9,2.95,72.24,38.2,,,,,,,,2.0071382306596362e+18,,,,,,,,0.022,0.021,,,,34.474254,6.28102,26.974634
